ORIG_FID,Shape_Length,Longitude,Latitude,Ellipsoidal height
24,0.002338098,74.49466076,42.48616377,3110.4063
24,0.002338098,74.49462299,42.48611761,3110.7063
24,0.002338098,74.49458522,42.48607145,3110.7063
24,0.002338098,74.49454746,42.48602529,3110.4063
24,0.002338098,74.49450969,42.48597913,3110.1063
24,0.002338098,74.49447193,42.48593297,3110.2063
24,0.002338098,74.49443416,42.48588681,3110.2063
24,0.002338098,74.49439639,42.48584065,3110.5063
24,0.002338098,74.49435863,42.4857945,3110.5063
24,0.002338098,74.49432086,42.48574834,3110.5063
24,0.002338098,74.49428309,42.48570218,3110.2063
24,0.002338098,74.49424533,42.48565602,3110.1063
24,0.002338098,74.49420756,42.48560986,3110.3063
24,0.002338098,74.49416979,42.4855637,3110.1063
24,0.002338098,74.49413203,42.48551754,3110.0063
24,0.002338098,74.49409426,42.48547138,3110.8063
24,0.002338098,74.49405649,42.48542522,3111.1063
24,0.002338098,74.49401873,42.48537906,3111.0063
24,0.002338098,74.49398096,42.4853329,3111.2063
24,0.002338098,74.49394319,42.48528674,3111.5063
24,0.002338098,74.49390543,42.48524058,3112.0063
24,0.002338098,74.49386766,42.48519442,3112.1063
24,0.002338098,74.4938299,42.48514826,3112.4063
24,0.002338098,74.49379213,42.4851021,3112.8063
24,0.002338098,74.49375436,42.48505594,3113.0063
24,0.002338098,74.4937166,42.48500978,3113.3063
24,0.002338098,74.49367883,42.48496362,3113.6063
24,0.002338098,74.49364106,42.48491746,3114.0063
24,0.002338098,74.4936033,42.48487131,3114.6063
24,0.002338098,74.49356553,42.48482515,3114.8063
24,0.002338098,74.49352776,42.48477899,3114.2063
24,0.002338098,74.49349,42.48473283,3114.2063
24,0.002338098,74.49345223,42.48468667,3115.1063
24,0.002338098,74.49341446,42.48464051,3116.2063
24,0.002338098,74.4933767,42.48459435,3116.2063
24,0.002338098,74.49333893,42.48454819,3115.8063
24,0.002338098,74.49330116,42.48450203,3117.4063
24,0.002338098,74.4932634,42.48445587,3119.3063
24,0.002338098,74.49322563,42.48440971,3123.1063
24,0.002338098,74.49318787,42.48436355,3123.4063
24,0.002338098,74.49318019,42.48435418,3123.4063
,0,74.49463911,42.48613143,3123.5063
,0,74.49461973,42.48609913,3122.8063
,0,74.49456804,42.48604098,3122.6063
,0,74.4943419,42.48576745,3123.1063
,0,74.49362484,42.48489357,3124.4063
,0,74.49351715,42.48474214,3124.4063
,0,74.49342292,42.48465801,3124.4063
