Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height
457713.994,4703365.959,3229.616,gl1_1,74.485512,42.48148982,3229.616
457719.084,4703367.815,3228.263,gl1_2,74.48557379,42.48150681,3228.263
457723.062,4703368.628,3226.311,gl1_3,74.48562213,42.48151435,3226.311
457727.717,4703369.981,3225.692,gl1_4,74.48567867,42.48152679,3225.692
457732.793,4703371.315,3224.76,gl1_5,74.48574032,42.48153908,3224.76
457737.439,4703372.841,3223.519,gl1_6,74.48579674,42.48155308,3223.519
457742.781,4703374.154,3223.571,gl1_7,74.48586163,42.48156519,3223.571
457745.776,4703375.163,3220.214,gl1_8,74.485898,42.48157444,3220.214
457750.183,4703375.467,3218.947,gl1_9,74.48595159,42.48157742,3218.947
457754.552,4703376.891,3219.622,gl1_10,74.48600465,42.48159048,3219.622
457759.117,4703378.743,3220.986,gl1_11,74.48606004,42.48160741,3220.986
457763.462,4703380.268,3222.614,gl1_12,74.4861128,42.48162138,3222.614
457770.284,4703381.475,3223.412,gl1_13,74.48619571,42.48163262,3223.412
457776.883,4703382.801,3223.628,gl1_14,74.4862759,42.48164492,3223.628
457782.196,4703383.822,3224.135,gl1_15,74.48634047,42.48165441,3224.135
457786.991,4703385.26,3223.831,gl1_16,74.4863987,42.48166762,3223.831
457791.663,4703386.544,3222.527,gl1_17,74.48645544,42.48167943,3222.527
457796.213,4703388.382,3221.386,gl1_18,74.48651066,42.48169623,3221.386
457801.57,4703389.545,3220.607,gl1_19,74.48657576,42.481707,3220.607
457805.777,4703390.865,3220.018,gl1_20,74.48662684,42.48171912,3220.018
457810.819,4703392.375,3219.132,gl1_21,74.48668807,42.48173299,3219.132
457815.619,4703393.273,3218.804,gl1_22,74.4867464,42.48174134,3218.804
457820.448,4703394.987,3218.925,gl1_23,74.48680503,42.48175704,3218.925
457824.378,4703395.408,3219.813,gl1_24,74.48685281,42.48176105,3219.813
457830.377,4703396.815,3221.187,gl1_25,74.48692569,42.48177404,3221.187
457834.957,4703398.021,3221.349,gl1_26,74.48698133,42.48178515,3221.349
457839.059,4703398.734,3220.06,gl1_27,74.48703118,42.4817918,3220.06
457844.092,4703400.41,3218.882,gl1_28,74.4870923,42.48180716,3218.882
457848.787,4703402.617,3217.564,gl1_29,74.48714925,42.48182729,3217.564
457854.296,4703404.312,3216.986,gl1_30,74.48721616,42.48184286,3216.986
457859.559,4703406.598,3216.523,gl1_31,74.48728002,42.48186373,3216.523
457863.827,4703408.587,3214.139,gl1_32,74.4873318,42.48188188,3214.139
457868.071,4703410.784,3212.168,gl1_33,74.48738327,42.48190189,3212.168
457871.793,4703412.454,3207.967,gl1_34,74.48742843,42.48191713,3207.967
457876.108,4703414.296,3205.286,gl1_35,74.48748079,42.48193396,3205.286
457881.047,4703415.798,3204.369,gl1_36,74.48754078,42.48194775,3204.369
457885.811,4703417.292,3204.279,gl1_37,74.48759863,42.48196147,3204.279
457890.526,4703419.023,3203.862,gl1_38,74.48765587,42.48197731,3203.862
457894.862,4703420.805,3203.224,gl1_39,74.48770848,42.48199359,3203.224
457899.319,4703422.255,3203.165,gl1_40,74.4877626,42.48200689,3203.165
457903.996,4703423.829,3202.432,gl1_41,74.48781939,42.48202132,3202.432
457908.87,4703425.099,3202.705,gl1_42,74.4878786,42.48203302,3202.705
457913.825,4703427.082,3201.622,gl1_43,74.48793874,42.48205115,3201.622
457918.21,4703429.236,3200.935,gl1_44,74.48799194,42.48207079,3200.935
457922.452,4703430.926,3199.922,gl1_45,74.48804342,42.48208624,3199.922
457926.815,4703433.192,3199.504,gl1_46,74.48809634,42.48210688,3199.504
457931.59,4703434.898,3199.451,gl1_47,74.4881543,42.48212251,3199.451
457936.301,4703437.927,3198.745,gl1_48,74.4882114,42.48215004,3198.745
457833.342,4703197.405,3207.309,gl2_1,74.48697644,42.47997841,3207.309
457836.364,4703200.918,3205.404,gl2_2,74.48701295,42.4800102,3205.404
457839.957,4703204.786,3203.332,gl2_3,74.48705637,42.48004524,3203.332
457842.486,4703207.897,3200.623,gl2_4,74.48708691,42.48007339,3200.623
457846.769,4703211.363,3199.245,gl2_5,74.48713877,42.48010483,3199.245
457849.127,4703214.666,3198.594,gl2_6,74.48716721,42.48013471,3198.594
457852.531,4703218.688,3196.93,gl2_7,74.48720833,42.48017111,3196.93
457855.349,4703222.991,3196.96,gl2_8,74.4872423,42.48021002,3196.96
457858.63,4703226.193,3196.361,gl2_9,74.48728198,42.48023903,3196.361
457862.456,4703230.401,3195.093,gl2_10,74.48732822,42.48027714,3195.093
457865.354,4703233.569,3195.11,gl2_11,74.48736325,42.48030583,3195.11
457868.027,4703237.568,3192.477,gl2_12,74.48739547,42.48034198,3192.477
457871.091,4703241.118,3191.669,gl2_13,74.48743248,42.48037412,3191.669
457874.168,4703245.135,3191.832,gl2_14,74.48746962,42.48041046,3191.832
457877.679,4703248.217,3191.584,gl2_15,74.48751212,42.48043841,3191.584
457880.263,4703252.997,3189.691,gl2_16,74.4875432,42.4804816,3189.691
457883.315,4703256.382,3190.47,gl2_17,74.48758009,42.48051225,3190.47
457886.644,4703260.419,3188.347,gl2_18,74.48762028,42.48054878,3188.347
457890.245,4703263.638,3186.827,gl2_19,74.48766387,42.48057796,3186.827
457893.414,4703266.783,3187.767,gl2_20,74.48770218,42.48060646,3187.767
457896.261,4703270.807,3188.169,gl2_21,74.48773652,42.48064286,3188.169
457899.152,4703274.081,3188.275,gl2_22,74.48777146,42.48067249,3188.275
457902.13,4703278.318,3188.637,gl2_23,74.48780738,42.48071081,3188.637
457905.191,4703282.104,3187.55,gl2_24,74.48784434,42.48074508,3187.55
