profile name,electrodes,geophones,Longitude,Latitude,Ellipsoidal height,Averaging start
abra03_2021-08-22_5m,1,1,71.58751855,39.65363342,3890,
abra03_2021-08-22_5m,2,2,71.58745971,39.65362557,3889.1,
abra03_2021-08-22_5m,3,3,71.58740087,39.65361771,3888.2,
abra03_2021-08-22_5m,4,4,71.58734204,39.65360986,3887.3,
abra03_2021-08-22_5m,5,5,71.5872832,39.65360201,3886.4,
abra03_2021-08-22_5m,6,6,71.58722437,39.65359415,3885.4,
abra03_2021-08-22_5m,7,7,71.58716553,39.6535863,3884.6,
abra03_2021-08-22_5m,8,8,71.5871067,39.65357844,3883.9,
abra03_2021-08-22_5m,9,9,71.58704786,39.65357059,3883.1,
abra03_2021-08-22_5m,10,10,71.58698902,39.65356273,3882.2,
abra03_2021-08-22_5m,11,11,71.58693019,39.65355488,3881.2,
abra03_2021-08-22_5m,12,12,71.58687135,39.65354703,3880.8,
abra03_2021-08-22_5m,13,13,71.58681252,39.65353917,3880.3,
abra03_2021-08-22_5m,14,14,71.58675368,39.65353132,3879,
abra03_2021-08-22_5m,15,15,71.58669485,39.65352346,3877.9,
abra03_2021-08-22_5m,16,16,71.58663601,39.65351561,3876.9,
abra03_2021-08-22_5m,17,17,71.58657717,39.65350775,3876.7,
abra03_2021-08-22_5m,18,18,71.58651834,39.6534999,3875.8,
abra03_2021-08-22_5m,19,19,71.5864595,39.65349204,3875.2,
abra03_2021-08-22_5m,20,20,71.58640067,39.65348419,3874.7,
abra03_2021-08-22_5m,21,21,71.58634183,39.65347634,3873.9,
abra03_2021-08-22_5m,22,22,71.58628299,39.65346848,3873.5,
abra03_2021-08-22_5m,23,23,71.58622416,39.65346063,3872.3,
abra03_2021-08-22_5m,24,24,71.58616532,39.65345277,3871.8,
abra03_2021-08-22_5m,25,25,71.58610649,39.65344492,3871.6,
abra03_2021-08-22_5m,26,26,71.58604765,39.65343706,3870.9,
abra03_2021-08-22_5m,27,27,71.58598882,39.65342921,3870.2,
abra03_2021-08-22_5m,28,28,71.58592998,39.65342136,3870,
abra03_2021-08-22_5m,29,29,71.58587114,39.6534135,3869.7,
abra03_2021-08-22_5m,30,30,71.58581231,39.65340565,3869.7,
abra03_2021-08-22_5m,31,31,71.58575347,39.65339779,3869.2,
abra03_2021-08-22_5m,32,32,71.58569464,39.65338994,3869.4,
abra03_2021-08-22_5m,33,33,71.5856358,39.65338208,3868.3,
abra03_2021-08-22_5m,34,34,71.58557696,39.65337423,3866.9,
abra03_2021-08-22_5m,35,35,71.58551813,39.65336637,3866.4,
abra03_2021-08-22_5m,36,36,71.58545929,39.65335852,3865.7,
abra03_2021-08-22_5m,37,37,71.58540046,39.65335067,3864.5,
abra03_2021-08-22_5m,38,38,71.58534162,39.65334281,3864.1,
abra03_2021-08-22_5m,39,39,71.58528279,39.65333496,3863.8,
abra03_2021-08-22_5m,40,40,71.58522395,39.6533271,3862.4,
abra03_2021-08-22_5m,41,41,71.58516511,39.65331925,3862.2,
abra03_2021-08-22_5m,42,42,71.58510628,39.65331139,3861.6,
abra03_2021-08-22_5m,43,,71.58504744,39.65330354,3861.2,
abra03_2021-08-22_5m,44,,71.58498861,39.65329568,3859.9,
abra03_2021-08-22_5m,45,,71.58492977,39.65328783,3858.4,
abra03_2021-08-22_5m,46,,71.58487093,39.65327998,3856.7,
abra03_2021-08-22_5m,47,,71.5848121,39.65327212,3854.8,
abra03_2021-08-22_5m,48,,71.58475326,39.65326427,3853.2,
abra03_2021-08-22_5m,49,,71.58469443,39.65325641,3851.1,
abra03_2021-08-22_5m,50,,71.58463559,39.65324856,3849,
abra03_2021-08-22_5m,51,,71.58457676,39.6532407,3846.9,
abra03_2021-08-22_5m,52,,71.58451792,39.65323285,3844.8,
abra03_2021-08-22_5m,53,,71.58445908,39.653225,3842.7,
abra03_2021-08-22_5m,54,,71.58440025,39.65321714,3840.6,
abra03_2021-08-22_5m,55,,71.58434141,39.65320929,3838.4,
abra03_2021-08-22_5m,56,,71.58428258,39.65320143,3836.3,
abra03_2021-08-22_5m,57,,71.58422374,39.65319358,3836.1,
abra03_2021-08-22_5m,58,,71.5841649,39.65318572,3835.8,
abra03_2021-08-22_5m,59,,71.58410607,39.65317787,3835.8,
abra03_2021-08-22_5m,60,,71.58404723,39.65317001,3835.8,
abra03_2021-08-22_5m,61,,71.5839884,39.65316216,3835.8,
abra03_2021-08-22_5m,62,,71.58392956,39.65315431,3835.8,
abra03_2021-08-22_5m,63,,71.58387073,39.65314645,3835.9,
abra03_2021-08-22_5m,64,,71.58381189,39.6531386,3836,
abra03_2021-08-22_5m,65,,71.58375305,39.65313074,3836.2,
abra03_2021-08-22_5m,66,,71.58369422,39.65312289,3836.5,
abra03_2021-08-22_5m,67,,71.58363538,39.65311503,3836.8,
abra03_2021-08-22_5m,68,,71.58357655,39.65310718,3837,
abra03_2021-08-22_5m,69,,71.58351771,39.65309933,3837.3,
abra03_2021-08-22_5m,70,,71.58345887,39.65309147,3837.6,
abra03_2021-08-22_5m,71,,71.58340004,39.65308362,3837.9,
abra03_2021-08-22_5m,72,,71.5833412,39.65307576,3838.3,
abra03_2021-08-22_5m,73,,71.58328237,39.65306791,3838.8,
abra03_2021-08-22_5m,74,,71.58322353,39.65306005,3839.3,
abra03_2021-08-22_5m,75,,71.5831647,39.6530522,3839.7,
abra03_2021-08-22_5m,76,,71.58310586,39.65304434,3839.7,
abra03_2021-08-22_5m,77,,71.58304702,39.65303649,3839.7,
abra03_2021-08-22_5m,78,,71.58298819,39.65302864,3839.6,
abra03_2021-08-22_5m,79,,71.58292935,39.65302078,3839.6,
abra03_2021-08-22_5m,80,,71.58287052,39.65301293,3838.9,
abra03_2021-08-22_5m,81,,71.58281168,39.65300507,3838.1,
abra03_2021-08-22_5m,82,,71.58275285,39.65299722,3837.1,
abra03_2021-08-22_5m,83,,71.58269401,39.65298936,3836.3,
abra03_2021-08-22_5m,84,,71.58263517,39.65298151,3835.5,
abra03_2021-08-22_5m,85,,71.58257634,39.65297366,3834.4,
abra03_2021-08-22_5m,86,,71.5825175,39.6529658,3833.5,
abra03_2021-08-22_5m,87,,71.58245867,39.65295795,3832.9,
abra03_2021-08-22_5m,88,,71.58239983,39.65295009,3832.4,
abra03_2021-08-22_5m,89,,71.58234099,39.65294224,3831.9,
abra03_2021-08-22_5m,90,,71.58228216,39.65293438,3831.6,
abra03_2021-08-22_5m,91,,71.58222332,39.65292653,3831.2,
abra03_2021-08-22_5m,92,,71.58216449,39.65291867,3830.8,
abra03_2021-08-22_5m,93,,71.58210565,39.65291082,3830.3,
abra03_2021-08-22_5m,94,,71.58206568,39.65290468,3829.9,
abra03_2021-08-22_5m,95,,71.58660417,39.65351713,3829.5,
abra03_2021-08-22_5m,96,,71.58619224,39.65345,3829,
